,5919806fc15d4a3a2199e5e5,5919806fc15d4a3a2199e5e7,5919806fc15d4a3a2199e5ed,5919806fc15d4a3a2199e5f1,5919806fc15d4a3a2199e5f6,5919806fc15d4a3a2199e5f8,5919806fc15d4a3a2199e5fb,5919806fc15d4a3a2199e5fd,5919806fc15d4a3a2199e5ff,5919806fc15d4a3a2199e601,5919806fc15d4a3a2199e602,5919806fc15d4a3a2199e604,5919806fc15d4a3a2199e607,5919806fc15d4a3a2199e613,5919806fc15d4a3a2199e614,5919806fc15d4a3a2199e616,5919806fc15d4a3a2199e617,5919806fc15d4a3a2199e618,5919806fc15d4a3a2199e61b,5919806fc15d4a3a2199e61d,5919806fc15d4a3a2199e61f,5919806fc15d4a3a2199e620,5919806fc15d4a3a2199e623,5919806fc15d4a3a2199e626,5919806fc15d4a3a2199e628,5919806fc15d4a3a2199e62a,5919806fc15d4a3a2199e62c,5919806fc15d4a3a2199e62d,5919806fc15d4a3a2199e632,5919806fc15d4a3a2199e633,5919806fc15d4a3a2199e634,5919806fc15d4a3a2199e637,5919806fc15d4a3a2199e639,5919806fc15d4a3a2199e63a,5919806fc15d4a3a2199e63b,5919806fc15d4a3a2199e63c,5919806fc15d4a3a2199e63e,5919806fc15d4a3a2199e640,5919806fc15d4a3a2199e642,5919806fc15d4a3a2199e643,5919806fc15d4a3a2199e645,5919806fc15d4a3a2199e647,5919806fc15d4a3a2199e649,5919806fc15d4a3a2199e64b,5919806fc15d4a3a2199e64d,5919806fc15d4a3a2199e64e,5919806fc15d4a3a2199e650,5919806fc15d4a3a2199e654,5919806fc15d4a3a2199e657
0,,,0,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,
2,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0,,
3,,1,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
4,,,0,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
5,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,0,,,,,,,,
8,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
12,,,,1,,1,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
15,2,,,,1,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,
19,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,0,,,,
20,,,,,,0,,,,,0,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
